,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
50,3684,7935,2800,3472,5468,4704,1726,4639,2704,3744,4219,7022,3330,5269,4447,2011,6980,3070,4854,3070,4532,2869,5828,6016,4247,4351,4964,4283,5088,4283,5088,4283,5277,5455,5251,5251,4326,4436,4436,6416,6416,4133,4644,4133,7772,7772,3428,4220,4897,4220,0,7245,7571,7093,4348,0,873,3178,3705,2689,3259,3296,2670
51,8216,7342,8967,8802,9216,5687,6748,5622,4287,6372,5202,5519,5903,7903,4314,6490,5477,7544,8996,6400,8674,4784,4325,4501,4837,4727,5999,6431,4819,6431,4819,6431,5558,5040,5944,5944,6474,6583,6583,4912,4912,7257,7136,7257,1520,1520,6758,8362,9038,8362,7178,0,326,600,3822,7178,8460,9450,9785,8961,9531,6247,8942
52,8119,7471,8870,8705,9345,5591,6651,5525,3960,6275,5105,5648,5806,7806,3988,5481,5606,7218,8899,5396,8577,4457,4453,4175,4741,4856,5903,6334,4947,6334,4947,6334,5686,5169,6072,6072,6377,6486,6486,5041,5041,7160,7040,7160,1649,1649,4465,8265,8942,8265,6852,129,0,274,3495,6852,8364,9353,9688,8864,9434,5920,8845
53,8367,7494,9118,8953,9367,5839,6899,5773,3951,6523,5353,5671,6054,8054,3979,6641,5628,7209,9147,6552,8825,4448,4476,4166,4989,4878,6151,6582,4970,6582,4970,6582,5709,5191,6095,6095,6625,6734,6734,5064,5064,7408,7288,7408,1672,1672,6909,8513,9190,8513,6843,151,478,0,3486,6843,8612,9601,9936,9112,9683,5911,9094
54,7215,8221,7967,8744,9106,5183,5748,5118,3076,5371,4698,7308,4949,7399,3580,4721,7266,5721,8492,4767,8170,3005,6114,1668,4333,4830,5495,5926,5620,5926,5620,5926,5809,5841,6894,6894,5969,6079,6079,6701,6701,6753,6632,6753,5209,5209,3500,7857,8534,7857,5317,3689,4015,3538,0,5317,6496,8449,8785,7961,8531,4423,7942
55,3684,7935,2800,3472,5468,4704,1726,4639,2704,3744,4219,7022,3330,5269,4447,2011,6980,3070,4854,3070,4532,2869,5828,6016,4247,4351,4964,4283,5088,4283,5088,4283,5277,5455,5251,5251,4326,4436,4436,6416,6416,4133,4644,4133,7772,7772,3428,4220,4897,4220,0,7245,7571,7093,4348,0,873,3178,3705,2689,3259,3296,2670
56,3775,8026,3879,4812,6808,4707,1816,4641,1831,3835,4221,7113,3333,5360,4450,2014,7071,2108,6194,3073,5872,1996,5919,5143,4250,4354,5054,4374,5179,4374,5179,4374,5368,5545,5342,5342,4417,4526,4526,6506,6506,4224,4734,4224,7774,7774,2079,5560,6237,5560,607,7164,7491,7013,3475,607,0,4518,4784,4029,4526,2423,3854
57,4158,8250,1444,725,4337,4762,3257,4679,5350,4899,6018,7338,5130,3246,6144,3709,7295,6337,3724,4767,3402,5530,6340,8677,6047,6150,5437,4757,5562,4757,5562,4757,5789,5451,4946,4946,3997,4107,4107,6731,6731,2765,3077,2765,8469,8469,5125,3089,3766,3089,5655,8942,9865,8790,7009,5655,4969,0,452,694,199,6580,2227
58,3706,7798,2481,273,3885,4310,2805,4227,4898,4447,5566,6886,4678,2794,5692,3257,6843,6823,3272,4315,2950,5078,5888,8225,5595,5698,4985,4305,5110,4305,5110,4305,5337,4999,4494,4494,3545,3655,3655,6279,6279,2313,2625,2313,8017,8017,4673,2637,3314,2637,6142,8490,9413,8338,6557,6142,4517,552,0,1129,633,6128,2457
59,4908,8648,2385,1122,4735,5159,3325,5076,5419,4968,6086,7735,5198,3904,6213,3777,7693,6141,4121,4836,3799,5598,6738,8746,6115,6219,6187,5506,6311,5506,6311,5506,6187,5848,5343,5343,4394,4403,4403,7128,7128,2834,3344,2834,9219,9219,5193,3487,4163,3487,5460,9010,10615,8859,7078,5460,5038,1401,849,0,591,6648,2031
60,4007,8099,1365,574,4187,4611,2798,4528,4892,4441,5559,7187,4671,3095,5686,3250,7144,6817,3573,4309,3251,5071,6189,8219,5588,5691,5286,4606,5411,4606,5411,4606,5638,5300,4795,4795,3846,3956,3956,6580,6580,2307,2817,2307,8318,8318,4666,2938,3615,2938,6136,8483,9714,8332,6551,6136,4511,517,301,615,0,6121,2028
61,4522,8772,4782,5559,7555,5454,2563,5388,2578,4582,4968,7860,4080,6106,5197,2761,7817,1339,6941,3819,6619,2742,6665,3937,4997,5100,5801,5120,5925,5120,5925,5120,6114,6292,6088,6088,5163,5273,5273,7253,7253,4970,5481,4970,8521,8521,2825,6307,6983,6307,2409,7252,7579,7101,3563,2409,3393,5265,5600,4776,5346,0,4757
62,5734,9474,346,1949,5561,5986,4152,5903,6245,5794,6913,8562,6025,4731,7039,4604,8519,6201,4948,5662,4626,6425,7564,9572,6942,7045,7013,6333,7138,6333,7138,6333,7013,6675,6170,6170,5221,5230,5230,7955,7955,3660,4171,3660,10045,10045,6020,4313,4990,4313,5520,9837,11441,9685,7904,5520,5864,2228,1676,827,1418,7475,0
